101812	cappella S. Maria ad Tribeum	ref_to	101344 (cappella S. Maria ad Trivium)	1:209n
101344	cappella S. Maria ad Trivium	base		1:205,209n
101347	cappella S. Maria alla Sapienza	ref_to	102273 (cappella S. Rosa)	1:411n
101350	cappella S. Maria d'Oresta	base		1:380
101352	cappella S. Maria de Caietanis	base		2:66,492n
101358	cappella S. Maria de Pede Monte	base		1:380,387n
101359	cappella S. Maria de Scillacio	base		7:269
101364	cappella S. Maria de' Rodoeris	base		1:380,385,387n
101367	cappella S. Maria degli Afflitti	base/ref_to	 101570 (cappella S. Maria della Neve)	2:358; 2:143n
101379	cappella S. Maria degli Angeli	base		2:15
101369	cappella S. Maria degli Angeli a Capuana	base		2:249,254; 6:351
101381	cappella S. Maria dei Catabellis	base		1:325,330,334n
101385	cappella S. Maria dei Luzzola	base		2:5
101392	cappella S. Maria dei Mosconi	base		1:350,362n
101397	cappella S. Maria dei Poveri	base		2:353
101402	cappella S. Maria dei Tomacelli	ref_to	101259 (cappella S. Maria Presentata al Tempio)	1:370,377
101403	cappella S. Maria dei Verdummari	ref_to	101685 (cappella S. Maria delle Grazie dei Bianchi)	2:242
101408	cappella S. Maria del Ben Morire	base		2:196
101409	cappella S. Maria del Bisogno	base		2:331n
101414	cappella S. Maria del Buon Consiglio	base		5:40,55; 6:351,365d
101432	cappella S. Maria del Carmine	base		1:482,487,491n
101820	cappella S. Maria del Conforto	base		8:32,40,56
101452	cappella S. Maria del Parto nell'atrio dei SS. Apostoli	base		1:472,478n
101464	cappella S. Maria del Pozzo	base		5:143,146,166
101467	cappella S. Maria del Presepe	base		2:248,249
101476	cappella S. Maria del Rifugio	ref_to	301476 (fondaco Maria del Rifugio)	1:516,517,525,528n
101490	cappella S. Maria del Rosario	base		6:216,224d
101493	cappella S. Maria del Soccorso	base		2:425; 2:494n
101502	cappella S. Maria dell'Aiuto	base		2:197
101507	cappella S. Maria dell'Annunziata	base		1:72n,73n
101512	cappella S. Maria dell'Arco	base/ref_to/ref_to	 100683 (chiesetta SS. Eufemia, Lucia e Geminiano) 100056 (cappella Agozzini)	4:376; 1:288,294; 1:288,298,299n
101508	cappella S. Maria dell'Arco al Lavinaio	base		2:286
101516	cappella S. Maria dell'Assunta	ref_to	301516 (cappella S. Maria la Bruno in vico Fico)	1:321
101520	cappella S. Maria dell'Avvocata	base		2:326,330n
101526	cappella S. Maria della Bruna	ref_to	100231 (cappella Assunta dei Caraccioli in vico Scassacocchi)	1:385,387n
101533	cappella S. Maria della Chiusa	base		5:241,246,247
101536	cappella S. Maria della Concezione	base		2:101
101545	cappella S. Maria della Fede	ref_to	102506 (chiesa S. Tommaso d'Aquino)	3:81,82
101549	cappella S. Maria della Grazia	ref_to	101850 (cappella S. Matteo al vico Giardinetto)	3:187,190
101547	cappella S. Maria della Grazia a S. Libano	base		4:4,11
101548	cappella S. Maria della Grazia nel fondaco Cittadella	base		8:4,18,20
101551	cappella S. Maria della Lettera	base		3:240d,241,241d,242
101570	cappella S. Maria della Neve	base/ref_to	 101344 (cappella S. Maria ad Trivium)	2:130,201,203,494n; 1:209n
101569	cappella S. Maria della Neve in via Atri	base		1:205
101588	cappella S. Maria della Pietà	ref_to	102328 (cappella Sansevero)	1:194n
101593	cappella S. Maria della Provvidenza	ref_to	101863 (chiesa S. Michele Arcangelo)	1:43,44,56
101602	cappella S. Maria della Purificazione	base		2:66
101604	cappella S. Maria della Purità a S. Liborio	base		4:4,11
101605	cappella S. Maria della Purità ai Barrettari	ref_to	101608 (chiesa S. Maria della Purità)	2:307n
101635	cappella S. Maria della Stella fuori Porta S. Gennaro	base		1:480
101636	cappella S. Maria della Stella in vico Zite	base		1:371,378n
101637	cappella S. Maria della Stella nella strada Raggio di Sole	base		1:251,252,266,270n
101722	cappella S. Maria della Trinità sotto il Palazzo Carafa di Stigliano	base		1:148,155n
101641	cappella S. Maria della Visitazione	ref_to	101608 (chiesa S. Maria della Purità)	2:301,302
101650	cappella S. Maria della Vittoria	base		8:230,254
101697	cappella S. Maria delle Grazie	base/ref_to/ref_to	 101566 (chiesa S. Maria della Neve al Mercato) 101608 (chiesa S. Maria della Purità)	1:480,481; 8:400,412; 2:316; 2:302,307n		N1062 (cappella S. Maria delle Grazie) 
101658	cappella S. Maria delle Grazie Visitapoveri nuova	base		2:429,431d,434
101693	cappella S. Maria delle Grazie a Soprammuro	ref_to	101019 (cappella Immacolata Concezione e S. Gioacchino)	2:285
101662	cappella S. Maria delle Grazie a rua Francesca	base		2:347,348,351
101670	cappella S. Maria delle Grazie al Lavinaio	ref_to	101019 (cappella Immacolata Concezione e S. Gioacchino)	2:279,285
101671	cappella S. Maria delle Grazie al Maioriello	base		6:114,117,124,125
101673	cappella S. Maria delle Grazie al vico Trane	base		4:506
101675	cappella S. Maria delle Grazie alla Calcinaio	ref_to	101684 (cappella S. Maria delle Grazie alla Dogana della Calce)	2:427,428,429
101676	cappella S. Maria delle Grazie alla Carriera Gronde	base		2:249,250
101677	cappella S. Maria delle Grazie alla Conceria	base		2:317,320
101684	cappella S. Maria delle Grazie alla Dogana della Calce	base		2:426
101678	cappella S. Maria delle Grazie alla Dogana della Farina	ref_to	101566 (chiesa S. Maria della Neve al Mercato)	2:318
101679	cappella S. Maria delle Grazie alla Giudecca Vecchia	ref_to	101325 (chiesa S. Maria a Sicula)	1:394
101680	cappella S. Maria delle Grazie alla Zabotteria	base		2:317,318,320,350,353
101685	cappella S. Maria delle Grazie dei Bianchi	base		2:237,242
101687	cappella S. Maria delle Grazie dei Conestrad	ref_to	101845 (cappella S. Matteo Apostolo)	2:434
101689	cappella S. Maria delle Grazie dei Vulcani	base		1:300,312n
101696	cappella S. Maria delle Grazie detta degli Scafati	base		2:295
101716	cappella S. Maria delle Rose	ref_to	101715 (chiesa S. Maria delle Rose dei Costanzi)	2:374
101733	cappella S. Maria di Costantinopoli	ref_to	101773 (chiesa S. Maria di Piedigrotta)	2:317,319,320,3310
101734	cappella S. Maria di Costantinopoli sotto l'arco di S. Eligio	base		2:316,318,320,330,331n
101756	cappella S. Maria di Mezzagosto alla Zecca dei Panni	base		2:337,345n
300233	cappella S. Maria di Mezzagosto in vico Scassacocchi	ref_target/ref_to	 102171 (cappella Piscicelli)	1:379,384; 1:378n,384
101754	cappella S. Maria di Mezzagosto in vico dei Panettieri	base		1:350,362n
101771	cappella S. Maria di Piedigrotta	base		2:317,319530
101770	cappella S. Maria di Piedigrotta in vico dei Carbonari	base		1:371,378n
101783	cappella S. Maria in Chiaro Lampo	base		2:147,148
101787	cappella S. Maria in Galateo	base		1:243
101788	cappella S. Maria in Jardeno	ref_to	101521 (chiesa S. Maria dell'Incoronata)	3:16
101796	cappella S. Maria la Bruna in vico Fico	base		1:313,321
301516	cappella S. Maria la Bruno in vico Fico	ref_target		1:321
101815	cappella S. Mariano in vico Scassacocchi	base		1:379,385
101816	cappella S. Mariano in vico dei Maiorani	base		1:350,380,385
101824	cappella S. Marta dei Genovesi	ref_to	101032 (chiesa Immacolata del Terzo Ordine di S. Francesco)	3:7,28n
101829	cappella S. Martinello sotto il palazzo di Monteforte	ref_to	301829 (chiesa S. Martino ad Monacorum)	1:450n
101836	cappella S. Martino 'in bagno delli barrilli'	ref_to	100056 (cappella Agozzini)	1:287,288,294,299n
101832	cappella S. Martino al Monte	ref_to	301829 (chiesa S. Martino ad Monacorum)	1:450n
101845	cappella S. Matteo Apostolo	base		2:428,429,434
101850	cappella S. Matteo al vico Giardinetto	base		3:187,190,206
101847	cappella S. Matteo de Ferillis	ref_to	100628 (chiesa Ecce Homo al Cerriglio)	2:5
